+-----------------------------------+-------+
|               name                | birth |
| Andy Bradshaw                     | NULL  |
| Brahmaji                          | NULL  |
| Vincent Branchet                  | NULL  |
| Stephen Brathe                    | NULL  |
| Bruno Bravo                       | NULL  |
| Irela Bravo                       | NULL  |
| Jon Brazier                       | NULL  |
| Werner Brecht                     | NULL  |
| Gianfranco Brero                  | NULL  |
| Nathalie Breuer                   | NULL  |
| Joyce Brew                        | NULL  |
| Oto Brezina                       | NULL  |
| Aude Briant                       | NULL  |
| Libby Brien                       | NULL  |
| Claudia Bringas                   | NULL  |
| Robert Patrick Brink              | NULL  |
| David Brisbin                     | NULL  |
| Jacques Brière                    | NULL  |
| Margarita Brondolo                | NULL  |
| Lindsey Brook                     | NULL  |
| Richard Brookhiser                | NULL  |
| James Brooks                      | NULL  |
| Yvette Brooks                     | NULL  |
| Christopher Brougham              | NULL  |
| Angel Brown                       | NULL  |
| Gilbert Glenn Brown               | NULL  |
| Hope Brown                        | NULL  |
| Jefferson Brown                   | NULL  |
| Ulric Browne                      | NULL  |
| Keith Brunsmann                   | NULL  |
| Augustine Kofie                   | NULL  |
| Augusto Brítez                    | NULL  |
| Eric Bu                           | NULL  |
| Dirk Bublies                      | NULL  |
| Miguel Bucarelly                  | NULL  |
| Alejandro Buenaventura            | NULL  |
| Mike Moroff                       | NULL  |
| Julie Moss                        | NULL  |
| Jernard Burks                     | NULL  |
| Josh Burrow                       | NULL  |
| Noel Burton                       | NULL  |
| Edda Bustamante                   | NULL  |
| Kelly Butler                      | NULL  |
| Adriana Butoi                     | NULL  |
| Tim Butterfield                   | NULL  |
| Ezra Buzzington                   | NULL  |
| Nate Bynum                        | NULL  |
| Eric Börjeson                     | NULL  |
| Pete Cabrinha                     | NULL  |
| Hsin-Hung Tsai                    | NULL  |
| Drew Cain                         | NULL  |
| Carrie Cain-Sparks                | NULL  |
| Raúl Calandra                     | NULL  |
| Christine Caleo                   | NULL  |
| Paty California                   | NULL  |
| Mihai Calin                       | NULL  |
| Shane Callahan                    | NULL  |
| Douglas Callan                    | NULL  |
| Tom Caltabiano                    | NULL  |
| Alexander Calzatti                | NULL  |
| Felipe Camacho                    | NULL  |
| Jairo Camargo                     | NULL  |
| Doug Campbell                     | NULL  |
| Norma Campbell                    | NULL  |
| Christina Campanella              | NULL  |
| René Campero                      | NULL  |
| Patricio Campos                   | NULL  |
| Lionel Campoy                     | NULL  |
| Daniel Cano                       | NULL  |
| Federico Canepa                   | NULL  |
| Bernard Canepari                  | NULL  |
| Anne Cantineau                    | NULL  |
| Kathie Capozzi                    | NULL  |
| Sara Capretti                     | NULL  |
| Ana Capri                         | NULL  |
| Thierry de Carbonnières           | NULL  |
| Bobby Carcassés                   | NULL  |
| Geoffrey Carey                    | NULL  |
| Ger Carey                         | NULL  |
| Lachele Carl                      | NULL  |
| Roberto Carnaghi                  | NULL  |
| Kathryn Carner                    | NULL  |
| Rémy Carpentier                   | NULL  |
| Víctor Carpinteiro                | NULL  |
| Gregory Patrick Karr              | NULL  |
| Camille Carraz                    | NULL  |
| Lisandro Carret                   | NULL  |
| Fabian Carrillo                   | NULL  |
| Óscar Carrillo                    | NULL  |
| Kate Carruthers                   | NULL  |
| Mary L. Carter                    | NULL  |
| Heather Carter-Drake              | NULL  |
| Greg Cartwright                   | NULL  |
| Hank Cartwright                   | NULL  |
| Martín Casanova                   | NULL  |
| David Cascadden                   | NULL  |
| Donna Casey                       | NULL  |
| Orlagh Cassidy                    | NULL  |
| Barry Castagnola                  | NULL  |
| Gérard Castello Lopes             | NULL  |
| Flor Castillo                     | NULL  |
| Holly Cat                         | NULL  |
| Anthony Cataldo                   | NULL  |
| Brigitte Catillon                 | NULL  |
| Maris J. Caune                    | NULL  |
| Patrick Cavanaugh                 | NULL  |
| Marco Cavicchioli                 | NULL  |
| Mine Çayiroglu                    | NULL  |
| Luciano Cazaux                    | NULL  |
| Adán Cesarini                     | NULL  |
| Chandni                           | NULL  |
| Chalapathi Rao                    | NULL  |
| Man-Lei Chan                      | NULL  |
| Sheila Chan                       | NULL  |
| Chandramohan                      | NULL  |
| Richard Chang                     | NULL  |
| Surachai Chantimatorn             | NULL  |
| Stephanie Chao                    | NULL  |
| Lia Chapman                       | NULL  |
| Sam Chapman                       | NULL  |
| Inthira Charoenpura               | NULL  |
| Gary Chason                       | NULL  |
| Christine Chatelain               | NULL  |
| Biplab Chatterjee                 | NULL  |
| Suresh Chatwal                    | NULL  |
| José Luis Chávez                  | NULL  |
| Douglas Cheek                     | NULL  |
| Mr. Cheeks                        | NULL  |
| Donna Cherry                      | NULL  |
| Emotion Cheung                    | NULL  |
| Ho Lung Cheung                    | NULL  |
| Nelson Cheung                     | NULL  |
| Tetsuya Chiba                     | NULL  |
| Mickaël Chirinian                 | NULL  |
| Martin Choquette                  | NULL  |
| Matt Chow                         | NULL  |
| Kalyan Chatterjee                 | NULL  |
| Caterina Christakos               | NULL  |
| Jason Chu                         | NULL  |
| Chi-Kin Choi                      | NULL  |
| Alan Ciangherotti                 | NULL  |
| Lizzie Ciesluk                    | NULL  |
| Marc Cinquanta                    | NULL  |
| Ludovít Cittel                    | NULL  |
| Casey Clark                       | NULL  |
| Richard Clarkin                   | NULL  |
| Paco Clavel                       | NULL  |
| Teddy Cleanthes                   | NULL  |
| Patrick Clear                     | NULL  |
| Danny Cleary                      | NULL  |
| Filipe Cochofel                   | NULL  |
| Piper Cochrane                    | NULL  |
| Lea Coco                          | NULL  |
| Jeff Cohen                        | NULL  |
| Constantin Cojocaru               | NULL  |
| Bruno Colella                     | NULL  |
| Antony Coleman                    | NULL  |
| Roger Coleman                     | NULL  |
| William Colgate                   | NULL  |
| Juan M. Coll                      | NULL  |
| Luz María Collazo                 | NULL  |
| Alma Concepcion                   | NULL  |
| Giancarlo Conde                   | NULL  |
| Brendan Connor                    | NULL  |
| Lou Consolo                       | NULL  |
| Charles Coocoo                    | NULL  |
| Lamont Copeland                   | NULL  |
| Brandi Coppock                    | NULL  |
| Chris Coppola                     | NULL  |
| Ivanah Coppola                    | NULL  |
| Cornell John                      | NULL  |
| Paul Corrigan                     | NULL  |
| Hugo Cosiansi                     | NULL  |
| Gabriel Cosme                     | NULL  |
| Sueli Costa                       | NULL  |
| Víctor Costa                      | NULL  |
| Alessandra Costanzo               | NULL  |
| Jean-Luc Couchard                 | NULL  |
| Fatoumata Coulibaly               | NULL  |
| Christopher Coulson               | NULL  |
| Josh Cox                          | NULL  |
| Philip Craig                      | NULL  |
| Paul Cram                         | NULL  |
| Vince Jordan                      | NULL  |
| Sue Cremin                        | NULL  |
| Antonio Crestani                  | NULL  |
| Mik Cribben                       | NULL  |
| Cristos                           | NULL  |
| Lillian Crombie                   | NULL  |
| Kim Crow                          | NULL  |
| Carl W. Crudup                    | NULL  |
| Tirso Cruz III                    | NULL  |
| Guy Cuevas                        | NULL  |
| Tom Cumler                        | NULL  |
| Patrick Cupo                      | NULL  |
| Andrew Currie                     | NULL  |
| Vinnie Curto                      | NULL  |
| Bill Curry                        | NULL  |
| Andy Curtis                       | NULL  |
| Tom Curtis                        | NULL  |
| Isabelle Cyr                      | NULL  |
| Vera Czemerinski                  | NULL  |
| Rita D'Albert                     | NULL  |
| Biancamaria D'Amato               | NULL  |
| Julia D'Orazio                    | NULL  |
| Da Guo                            | NULL  |
| Udula Dabare                      | NULL  |
| Severino Dadá                     | NULL  |
| Michael Dalmon                    | NULL  |
| Hannah Dalton                     | NULL  |
| Tony Daly                         | NULL  |
| Marie-Christine Damiens           | NULL  |
| Steven Daniel                     | NULL  |
| Ross Lorin Dannenberg             | NULL  |
| Maria Darling                     | NULL  |
| Paule Daré                        | NULL  |
| Tapan Das                         | NULL  |
| Vasundhara Das                    | NULL  |
| Arun Kumar Dasari                 | NULL  |
| Poonam Dasgupta                   | NULL  |
| John Dauer                        | NULL  |
| Menachem Daum                     | NULL  |
| Ricky Davao                       | NULL  |
| Nina Davenport                    | NULL  |
| Adriana Davidova                  | NULL  |
| Celesta Davis                     | NULL  |
| J.P. Davis                        | NULL  |
| Jed Davis                         | NULL  |
| Mohammad-Reza Davoudnejad         | NULL  |
| Katie Dawson                      | NULL  |
| Giulietta De Bernardi             | NULL  |
| Elisa DeCarlo                     | NULL  |
| Philippe De Grossouvre            | NULL  |
| Tom De Hoog                       | NULL  |
| Ángel de la Peña                  | NULL  |
| Carlos La Rosa                    | NULL  |
| Marisa de Lille                   | NULL  |
| Damian de Montemas                | NULL  |
| Jurandir de Oliveira              | NULL  |
| Dan DePaola                       | NULL  |
| Francisco F. de Rosa              | NULL  |
| Silvia De Santis                  | NULL  |
| Sebastiao de Souza                | NULL  |
| Michel Debrane                    | NULL  |
| Kiersten DeBrower                 | NULL  |
| Harildo Deda                      | NULL  |
| Susan Doukas                      | NULL  |
| Ali Dehkordi                      | NULL  |
| Miguel del Arco                   | NULL  |
| Milagros Del Carpio               | NULL  |
| Jean-Marc Delacruz                | NULL  |
| Pete DeLorenzo                    | NULL  |
| Alex Demir                        | NULL  |
| Brendan Dempsey                   | NULL  |
| Michael Denney                    | NULL  |
| Silvia Eugenia Derbez             | NULL  |
| Frédéric Desager                  | NULL  |
| Martin Desgagné                   | NULL  |
| Shama Deshpande                   | NULL  |
| Devaki                            | NULL  |
| Devan                             | NULL  |
| Devayani                          | NULL  |
| Stuart Devenie                    | NULL  |
| Jan Devereaux                     | NULL  |
| Chris Devlin                      | NULL  |
| John Di Benedetto                 | NULL  |
| Angelo Di Gennaro                 | NULL  |
| Mike Diana                        | NULL  |
| Maimouna Hélène Diarra            | NULL  |
| Manthia Diawara                   | NULL  |
| Ana Diego                         | NULL  |
| Anthony DiMaria                   | NULL  |
| Makena Diop                       | NULL  |
| Malik Diouf                       | NULL  |
| Allen Dizon                       | NULL  |
| Amel Djemel                       | NULL  |
| Shaghayeh Djodat                  | NULL  |
| Christian Dob                     | NULL  |
| Darrick Doerner                   | NULL  |
| Supakorn Srisawat                 | NULL  |
| Deux Doksadao                     | NULL  |
| Ron Domingo                       | NULL  |
| Stephen Donovan                   | NULL  |
| Humberto Dorado                   | NULL  |
| Tsering Dorjee                    | NULL  |
| Louis Doré                        | NULL  |
| Doud                              | NULL  |
| Sam Doumit                        | NULL  |
| Donald Dowd                       | NULL  |
| Gavin Dowdall                     | NULL  |
| Kevin Downes                      | NULL  |
| Lea Downey                        | NULL  |
| Natalia Dragoumi                  | NULL  |
| Damián Dreizik                    | NULL  |
| Eddie Driscoll                    | NULL  |
| Bob Druwing                       | NULL  |
| Neha Dubey                        | NULL  |
| Quinn Duffy                       | NULL  |
| Kathleen S. Dunn                  | NULL  |
| Sophie Durand                     | NULL  |
| Ted Dykstra                       | NULL  |
| Rosa Díaz                         | NULL  |
| Emilio Echevarría                 | NULL  |
| Steady Eddy                       | NULL  |
| David Edery                       | NULL  |
| Marcial Edwards                   | NULL  |
| Steve Edwards                     | NULL  |
| Kurt Egelhof                      | NULL  |
| Raúl Eguren                       | NULL  |
| Mark Ehrlich                      | NULL  |
| Ryan Eigenmann                    | NULL  |
| Selma El Mouissi                  | NULL  |
| Murilo Elbas                      | NULL  |
| Herbert Eley                      | NULL  |
| Borja Elgea                       | NULL  |
| Michel Elias                      | NULL  |
| Standing Elk                      | NULL  |
| Kristel Elling                    | NULL  |
| Kate Elliott                      | NULL  |
| Justin Ellis-Johnson              | NULL  |
| Teodor Elmazov                    | NULL  |
| Joe Ely                           | NULL  |
| Michael Emanuel                   | NULL  |
| Ouassini Embarek                  | NULL  |
| Colette Emmanuelle                | NULL  |
| George Ender                      | NULL  |
| Patrik Ersgård                    | NULL  |
| John Estrada                      | NULL  |
| Dwight Ewell                      | NULL  |
| Jules-Emmanuel Eyoum Deido        | NULL  |
| Luca Fagioli                      | NULL  |
| Francesca Fago                    | NULL  |
| Juliette Failevic                 | NULL  |
| Mehdi Fakhimzadeh                 | NULL  |
| Madeleine Falk                    | NULL  |
| Fatou Fall                        | NULL  |
| Joyce Fante                       | NULL  |
| Tim Faraday                       | NULL  |
| Rachid Fares                      | NULL  |
| Arturo Farfán                     | NULL  |
| Daniela Farinacci                 | NULL  |
| Jennifer Farrell                  | NULL  |
| Luciano Federico                  | NULL  |
| Heather Feeney                    | NULL  |
| Danny Fehsenfeld                  | NULL  |
| Eric Feldman                      | NULL  |
| Danny Fendley                     | NULL  |
| Hanyuan Feng                      | NULL  |
| Stephen Ferguson                  | NULL  |
| Jillali Ferhati                   | NULL  |
| Danièle Ferraro                   | NULL  |
| Maryel Ferraud                    | NULL  |
| Joana Ferreira                    | NULL  |
| Pablo Ferrel                      | NULL  |
| Mouna Fettou                      | NULL  |
| David Field                       | NULL  |
| John Fiore                        | NULL  |
| Jessica Fischer                   | NULL  |
| Mark Fite                         | NULL  |
| Kurt Fitzpatrick                  | NULL  |
| Paul Flanagan                     | NULL  |
| Alejandra Flechner                | NULL  |
| Jonathan T. Floyd                 | NULL  |
| Vanni Fois                        | NULL  |
| Lillian Folley                    | NULL  |
| Lesley Fong                       | NULL  |
| Dawn Ford                         | NULL  |
| Kevin Ford                        | NULL  |
| Shahrokh Foroutanian              | NULL  |
| Marlene Forte                     | NULL  |
| George Foster                     | NULL  |
| Bart Fouche                       | NULL  |
| Ivonne Fournery                   | NULL  |
| Édith Fournier                    | NULL  |
| Don Fowler                        | NULL  |
| Andrew Francis                    | NULL  |
| Dean Francis                      | NULL  |
| Terry Francis                     | NULL  |
| Billy Franks                      | NULL  |
| Raymond Franza                    | NULL  |
| Josh Freed                        | NULL  |
| Michael Bryan French              | NULL  |
| Peter Friedrich                   | NULL  |
| Rebecca Frith                     | NULL  |
| Claudia Frías                     | NULL  |
| Yoshiaki Fujiwara                 | NULL  |
| Akira Fukuhara                    | NULL  |
| Allegra Fulton                    | NULL  |
| Hervé Furic                       | NULL  |
| Traute Furthner                   | NULL  |
| Maura Gale                        | NULL  |
| Meghan Faye Gallagher             | NULL  |
| Pepe Galotto                      | NULL  |
| Dagoberto Gama                    | NULL  |
| Damon Gameau                      | NULL  |
| Ilan Ganani                       | NULL  |
| Delhi Ganesh                      | NULL  |
| Tyler Gannon                      | NULL  |
| Ezzedine Gannoun                  | NULL  |
| Nanou Garcia                      | NULL  |
| Dawn-Lyen Gardner                 | NULL  |
| John Gardner                      | NULL  |
| Francesc Garrido                  | NULL  |
| Silvana Gasparini                 | NULL  |
| Caroline Gasser                   | NULL  |
| Yash Gawli                        | NULL  |
| Zhijun Ge                         | NULL  |
| Ida Gearon                        | NULL  |
| Jerry Gelb                        | NULL  |
| Arnie Gelbart                     | NULL  |
| Jordan Gelber                     | NULL  |
| Alain Gendreau                    | NULL  |
| Mathieu Genet                     | NULL  |
| Jude Gerard Prest                 | NULL  |
| Jaime Gerner                      | NULL  |
| Giorgos Gerontidakis-Sempetadelis | NULL  |
| Liron Gerty                       | NULL  |
| Mohammad Ghaffari                 | NULL  |
| Soraya Ghasemi                    | NULL  |
| Gerardo Giacinti                  | NULL  |
| Mary Gilbert                      | NULL  |
| Avtar Gill                        | NULL  |
| Brett Gillen                      | NULL  |
| Bill Gillespie                    | NULL  |
| Eric Gilliland                    | NULL  |
| Kim Gillingham                    | NULL  |
| Alberto Jiménez                   | NULL  |
| Ginji                             | NULL  |
| Francesca Giordani                | NULL  |
| Christophe Giordano               | NULL  |
| Giri Babu                         | NULL  |
| Benoît Giros                      | NULL  |
| Giovanna Giuliani                 | NULL  |
| Diana Glenn                       | NULL  |
| Simon Goerts                      | NULL  |
| Henrike Goetz                     | NULL  |
| Ramesh Goyal                      | NULL  |
| I. Karl Golden                    | NULL  |
| Joey Golden                       | NULL  |
| Jeff Marlow                       | NULL  |
| Nappon Gomarachun                 | NULL  |
| Beibi Gong                        | NULL  |
| Bob Gonzo                         | NULL  |
| Rojo Grau                         | NULL  |
| Adriano González                  | NULL  |
| Erando González                   | NULL  |
| Brij Gopal                        | NULL  |
| George Gordon                     | NULL  |
| Vladimir Goryanskiy               | NULL  |
| Brannon Gould                     | NULL  |
| Saskia Gould                      | NULL  |
| Michele Graff                     | NULL  |
| Molly Graham                      | NULL  |
| Sean Graham                       | NULL  |
| Dona Granata                      | NULL  |
| Jan Graveson                      | NULL  |
| Guillermo Gravino                 | NULL  |
| Rothaford Gray                    | NULL  |
| Sara Graça                        | NULL  |
| Harry Greenberger                 | NULL  |
| Culver Greenidge                  | NULL  |
| Carol Greyeyes                    | NULL  |
| Foster Griezic                    | NULL  |
| Eddie Griffin Jr.                 | NULL  |
| Iván Grondona                     | NULL  |
| Patrice Guillain                  | NULL  |
| Lara Guirao                       | NULL  |
| Sanath Gunathilake                | NULL  |
| Tonton Gutierrez                  | NULL  |
| Audry Gutiérrez Alea              | NULL  |
| Frédéric Gélard                   | NULL  |
| Félix Gómez                       | NULL  |
| Richard Hagerman                  | NULL  |
| Stefan Hayek                      | NULL  |
| Don Halbert                       | NULL  |
| Steve Halcum                      | NULL  |
| Aznah Hamid                       | NULL  |
| Derek Hamilton                    | NULL  |
| Nick Hamilton                     | NULL  |
| Michael Hanrahan                  | NULL  |
| Gundu Hanumantha Rao              | NULL  |
| Mohamed Haragua                   | NULL  |
| Miranda Harcourt                  | NULL  |
| April Hardcastle                  | NULL  |
| Ernest Hardin Jr.                 | NULL  |
| Ray Hare                          | NULL  |
| 'Hurricane Ryu' Hariken           | NULL  |
| Fabian Harlang                    | NULL  |
| Lacie Harmon                      | NULL  |
| Derek Harris                      | NULL  |
| Hank Harris                       | NULL  |
| R. Keith Harris                   | NULL  |
| Lucy Harrison                     | NULL  |
| Jamie Harrold                     | NULL  |
| Harris Hart                       | NULL  |
| Christine Harte                   | NULL  |
| Meg Hartig                        | NULL  |
| Carol Harvey                      | NULL  |
| Susan Harvey                      | NULL  |
| Kôichi Hashimoto                  | NULL  |
| Dimitra Hatoupi                   | NULL  |
| Hattan                            | NULL  |
| Ilavarasu                         | NULL  |
| Jayne Haynes                      | NULL  |
| Frances Hearn                     | NULL  |
| Joachim Boje Helvang              | NULL  |
| Guillermo Heredia                 | NULL  |
| Kristin Herold                    | NULL  |
| Carolynne Hew                     | NULL  |
| Hamdy Heykal                      | NULL  |
| Jay Hickman                       | NULL  |
| Jhong Hilario                     | NULL  |
| Kirsten Hill                      | NULL  |
| David Himes                       | NULL  |
| Yann Hnautra                      | NULL  |
| Chris Hobbs                       | NULL  |
| Chris Hoffman                     | NULL  |
| Nigel Hogge                       | NULL  |
| Randall Holden                    | NULL  |
| Kyle Holman                       | NULL  |
| Peter Holst                       | NULL  |
| Andy Holt                         | NULL  |
| Martin Honsel                     | NULL  |
| Helen Hopkins                     | NULL  |
| Yôko Hoshi                        | NULL  |
| Catherine Hosmalin                | NULL  |
| Rosemary House                    | NULL  |
| Erica Howard                      | NULL  |
| Ginger Howard                     | NULL  |
| Tida Souratha                     | NULL  |
| Worth Howe                        | NULL  |
| Luis Fernando Hoyos               | NULL  |
| Danielle Hubbard                  | NULL  |
| Mark Huberman                     | NULL  |
| Clarence Hui                      | NULL  |
| Ali Humiston                      | NULL  |
| Amy Humphrey                      | NULL  |
| Eleanor Hutchins                  | NULL  |
| Derek Hutchinson                  | NULL  |
| I-F                               | NULL  |
